FeatureA,FeatureB,PearsonR
DaysUntilExam,SleepHours,0.7479
HoursStudied,NumberOfSubjects,0.6417
SleepHours,SleepQuality,0.6266
DaysUntilExam,StressLevel,-0.5807
StressLevel,SleepHours,-0.5266
FatigueLevel,SleepHours,-0.5211
DaysUntilExam,SleepQuality,0.5142
DaysUntilExam,FatigueLevel,-0.4321
FatigueLevel,SleepQuality,-0.3675
StressLevel,SleepQuality,-0.3462
SleepHours,PreviousFeedback,-0.3377
StressLevel,FatigueLevel,0.3322
DaysUntilExam,PreviousFeedback,-0.3321
HoursStudied,FatigueLevel,-0.3036
NumberOfSubjects,FatigueLevel,-0.299
StressLevel,PreviousFeedback,0.2709
FatigueLevel,PreviousFeedback,0.2503
SleepQuality,PreviousFeedback,-0.2351
HoursStudied,SleepHours,0.2177
HoursStudied,DaysUntilExam,-0.2058
NumberOfSubjects,DaysUntilExam,-0.1516
NumberOfSubjects,SleepQuality,0.1491
HoursStudied,SleepQuality,0.1484
NumberOfSubjects,SleepHours,0.1357
HoursStudied,StressLevel,0.0659
HoursStudied,PreviousFeedback,-0.0648
NumberOfSubjects,PreviousFeedback,0.0335
NumberOfSubjects,StressLevel,0.0107
